#{"t_start": 1762632990.989535, "env_id": "None"}
r,l,t
-200.0,1,434.906873
-200.0,1,434.938852
703.25,112,436.494524
-200.0,1,436.527224
-200.0,1,436.560586
-200.0,1,436.59222
-200.0,1,436.62232
-200.0,1,436.654768
605.4,107,438.144955
-200.0,1,438.177847
-200.0,1,438.207891
-200.0,1,438.241986
184.6,121,439.927412
-200.0,1,439.960676
-200.0,1,439.994166
-200.0,1,440.023881
781.7,153,442.146247
-200.0,1,442.179851
-200.0,1,442.212475
-200.0,1,442.244214
19.25,40,442.811135
-200.0,1,442.844717
-200.0,1,442.876696
-200.0,1,442.908023
54.3,45,443.542031
-200.0,1,443.575734
-200.0,1,443.608354
-200.0,1,443.64081
690.95,178,446.548244
-200.0,1,446.581496
-200.0,1,446.61067
-200.0,1,446.642937
-200.0,1,446.673331
-204.2,5,446.757323
-200.0,1,446.790378
-200.0,1,446.82104
-200.0,1,446.851
371.4,117,448.490737
-200.0,1,448.525145
-200.0,1,448.558455
-200.0,1,448.591493
41.15,106,450.048454
-200.0,1,450.080769
-200.0,1,450.11099
-200.0,1,450.141271
395.4,113,451.693923
-200.0,1,451.727258
-200.0,1,451.757824
-200.0,1,451.792072
-201.55,2,451.835285
-200.0,1,451.865106
-200.0,1,451.896077
-200.0,1,451.926387
4098.2,621,460.500988
-200.0,1,460.534064
-200.0,1,460.567507
-200.0,1,460.598782
955.0,179,463.070299
-200.0,1,463.103944
-200.0,1,463.140906
-200.0,1,463.174042
-200.0,1,463.20792
-200.0,1,463.240651
992.05,150,465.314784
-200.0,1,465.347665
-200.0,1,465.378653
-200.0,1,465.409133
355.9,143,467.374315
-200.0,1,467.421346
-200.0,1,467.454307
-200.0,1,467.483388
-200.0,1,467.512916
-13.5,101,468.904349
-200.0,1,468.937901
-200.0,1,468.972614
-200.0,1,469.008229
595.7,101,470.407177
-200.0,1,470.4386
-200.0,1,470.471605
-200.0,1,470.505829
991.35,172,472.894136
-200.0,1,472.928906
-200.0,1,472.960203
-200.0,1,472.991726
-200.0,1,473.023355
446.95,86,474.678021
-200.0,1,474.711163
-200.0,1,474.743393
-200.0,1,474.77425
298.2,69,475.731394
-200.0,1,475.762868
-200.0,1,475.794083
-200.0,1,475.824847
476.95,92,477.112949
-200.0,1,477.142545
-200.0,1,477.172788
-200.0,1,477.206252
-200.0,1,477.239289
-51.6,63,478.123817
-200.0,1,478.15804
-200.0,1,478.191592
-200.0,1,478.223579
-200.0,1,478.256494
-205.6,5,478.338307
-200.0,1,478.370571
-200.0,1,478.402784
-200.0,1,478.433859
4162.75,698,488.030826
-200.0,1,488.063392
-200.0,1,488.09806
-200.0,1,488.129285
520.15,138,490.041552
-200.0,1,490.074501
-200.0,1,490.106006
